type,size,cores,time,L1_DCM,L2_DCM,FP_INS,TOT_INS,FP_OPS
1,2200,14,5.802,1274250231,13231153,1529440006,23876935993,1529440006
1,2600,14,9.808,2247629442,35039055,2514720006,39215555641,2514720006
1,3000,14,15.453,3668433278,67523662,3870000006,60298274483,3870000006
1,600,15,0.091,16594809,9473,28800006,458953468,28800006
1,1000,15,0.456,83283877,654679,134000006,2111736714,134000006
1,1400,15,1.344,274341577,1529451,368480006,5781580072,368480006
1,1800,15,2.961,617066027,6734565,777600006,12165198638,777600006
1,2200,15,5.493,1204554223,6806348,1422960006,22224525685,1422960006
1,2600,15,9.433,2100276219,56210979,2352480006,36700055797,2352480006
1,3000,15,14.942,3399343673,51559811,3600000006,56114248713,3600000006
1,600,16,0.087,15506883,12550,27360006,436602605,27360006
1,1000,16,0.438,78435579,439097,126000006,1989587716,126000006
1,1400,16,1.302,257967767,646930,344960006,5416809985,344960006
1,1800,16,2.861,581853904,1737843,732240006,11463903454,732240006
1,2200,16,5.384,1137848475,9554376,1335840006,20875035709,1335840006
1,2600,16,9.258,1971340355,20932309,2203760006,34394180286,2203760006
1,3000,16,14.646,3202108895,54709823,3384000006,52765348186,3384000006
2,600,1,0.728,27861865,153087,432000007,9951199198,432000007
2,1000,1,3.399,129710920,692402,2000000007,46042081347,2000000007
2,1400,1,9.374,364095186,2173983,5488000007,126306426390,5488000007
2,1800,1,19.898,794651523,4769099,11664000007,268408220804,11664000007
2,2200,1,36.057,1986942581,2975307,21296000007,490011460248,21296000007
2,2600,1,59.006,4184768293,4939573,35152000007,808780148981,35152000007
2,3000,1,89.681,6578404887,7859035,54000000007,1242378288048,54000000007
2,4096,1,223.497,17335052690,21336109,137438953479,3161801088872,137438953479
2,6144,1,732.708,59015125936,72408945,463856467975,10670285466824,463856467975
2,8192,1,1700.354,139923506427,181299182,1099511627783,25291588550836,1099511627783
2,10240,1,3296.166,273321007840,361517740,2147483648007,49396532408066,2147483648007
2,600,2,0.115,1979615,19418,27000007,782197313,27000007
2,1000,2,0.600,10173238,71363,125000007,3598483029,125000007
2,1400,2,1.667,43739423,89244,343000007,9842119444,343000007
2,1800,2,3.592,93671379,182044,729000007,20886155365,729000007
2,2200,2,6.642,171748529,329605,1331000007,38099374835,1331000007
2,2600,2,11.097,283416236,566782,2197000007,62843221975,2197000007
2,3000,2,17.270,435631373,891913,3375000007,96491989223,3375000007
2,600,3,0.131,2018257,16690,27000007,781977380,27000007
2,1000,3,0.633,10146397,55845,125000007,3596970021,125000007
2,1400,3,1.756,43676024,87834,343000007,9843951289,343000007
2,1800,3,3.754,94206197,184075,729000007,20888244077,729000007
2,2200,3,6.860,171760088,358390,1331000007,38097552851,1331000007
2,2600,3,11.389,283453986,578027,2197000007,62843222393,2197000007
2,3000,3,17.633,435532310,867482,3375000007,96491989782,3375000007
2,600,4,0.136,2003900,10412,27000007,782553096,27000007
2,1000,4,0.647,10124375,75207,125000007,3596381268,125000007
2,1400,4,1.801,43288424,91811,343000007,9843951377,343000007
2,1800,4,3.826,93737313,182041,729000007,20886144192,729000007
2,2200,4,6.983,171703026,336411,1331000007,38098304511,1331000007
2,2600,4,11.595,283458337,554443,2197000007,62843222584,2197000007
2,3000,4,17.923,435594798,869297,3375000007,96491990158,3375000007
2,600,5,0.138,2024921,17120,27000007,782056189,27000007
2,1000,5,0.657,10102739,42865,125000007,3597594082,125000007
2,1400,5,1.830,43344034,84812,343000007,9843951699,343000007
2,1800,5,3.870,93754582,176979,729000007,20888244278,729000007
